Group,group_size,voter_ratio,vote_D_ratio,vote_R_ratio
white_total,48426,73.08%,45.16%,54.84%
white_urban,7191,70.95%,50.51%,49.49%
white_suburban,12622,70.23%,40.93%,59.07%
white_rural,13236,65.70%,41.52%,58.48%
