missing_value_num,missing_value_percentage,missing_value_percentage_10,missing_value_percentage_20,missing_value_percentage_30,missing_value_percentage_40,missing_value_percentage_50,missing_value_percentage_60
64991,0.9526119840525328,1.0,1.0,1.0,1.0,1.0,0.9462340556451747
63682,0.9334251876172608,1.0,1.0,1.0,0.9212707832885875,0.9141528691313223,0.9244649182617951
63624,0.9325750469043153,1.0,1.0,1.0,1.0,0.913056626597112,0.9235003575526767
62481,0.9158214118198874,1.0,1.0,1.0,1.0,0.9560557949648446,0.9044918594402221
61720,0.9046669793621013,1.0,0.9552511803989961,0.9677211500107391,0.8905374216946917,0.8770696303016557,0.8918361577223063
61655,0.9037142354596623,1.0,1.0,1.0,1.0,0.949327133892795,0.8907551845138115
61474,0.9010612101313321,0.9032170710571924,0.8956144455314986,0.8859807922432573,0.8882765767038764,0.9027935283889015,0.9046415326537061
60327,0.884248944652908,1.0,1.0,1.0,1.0,0.9178763136009677,0.8686700703464103
59836,0.8770520637898687,1.0,1.0,0.8714675830750821,0.8024586689275116,0.8414606486731685,0.8605045650330112
59420,0.8709545028142589,1.0,1.0,1.0,1.0,0.9073486051258789,0.8535863364986446
59407,0.8707639540337712,1.0,1.0,1.0,1.0,0.9072730021924851,0.8533701418569457
59266,0.8686972326454033,1.0,1.0,1.0,1.0,0.8843842141075073,0.8510252615123647
59263,0.8686532598499062,1.0,1.0,1.0,1.0,0.8843653133741589,0.8509753704412034
58862,0.8627755628517824,0.7703097920277296,0.768514186056404,0.7127427817495627,0.7795205124581979,0.8230513343917744,0.8443065972626432
57418,0.841609990619137,1.0,0.9458079884299629,0.9179834923751956,0.937049597286986,0.876956225901565,0.8202923616770053
56609,0.8297519934333959,1.0,1.0,1.0,1.0,1.0,0.9063045683590827
56144,0.8229362101313321,1.0,0.9357267429495087,0.8219447086619005,0.7155103386557392,0.7716791411506766,0.7991052867905074
55321,0.8108730065666041,1.0,1.0,1.0,1.0,0.8841574053073259,0.8267449402138664
55258,0.8099495778611632,1.0,1.0,1.0,1.0,0.8836659862402662,0.8262460295022535
54243,0.7950721153846154,0.4540186308492201,0.474456591092773,0.5710165383081218,0.6707408977438651,0.7357488470552658,0.7674909780312983
54198,0.7944125234521576,1.0,1.0,1.0,1.0,0.9027935283889015,0.8629159668058073
53130,0.7787582082551595,0.2458297227036395,0.35794801990726954,0.5368660059525636,0.6445292261316,0.7147123308384365,0.7489813906304569
53124,0.7786702626641651,0.24534228769497402,0.3576927985027011,0.5366819060476818,0.6443879233196741,0.7145989264383458,0.7488816084881342
51795,0.7591903142589118,1.0,0.9531243353609256,0.7202908778497131,0.6130893504780746,0.6894798518182506,0.7267798639636793
51795,0.7591903142589118,1.0,0.9531243353609256,0.7202908778497131,0.6130893504780746,0.6894798518182506,0.7267798639636793
51750,0.758530722326454,1.0,0.9430856267812328,0.8614955048939892,0.7173237247421224,0.7731344976185076,0.7744590976368263
50865,0.7455587476547842,1.0,1.0,1.0,1.0,0.8773909427685794,0.794016397532055
49995,0.7328066369606003,0.1190424610051993,0.22459483602024757,0.4406738056518671,0.5706985069002873,0.6554585317910335,0.6968452212669006
49710,0.7286292213883677,0.11086438474870017,0.21247181930324557,0.43192906016998556,0.5639866233338043,0.6500718227867242,0.6921055695065773
49664,0.7279549718574109,0.10837305025996534,0.2105151218682207,0.4305176275658924,0.5629033017757054,0.6492023890526952,0.6913405730821041
48900,0.7167565666041276,0.07647313691507798,0.17801692968650304,0.40707557301095393,0.5449107437238001,0.6347622287744764,0.6786349802930269
48789,0.7151295731707317,0.05946707105719237,0.17329533370198646,0.4036697247706422,0.5422966417031699,0.632664247372798,0.6767890106600589
48722,0.7141475140712945,0.11243500866551126,0.17044536135097196,0.40161394249946303,0.54071876030333,0.6313978982384516,0.6756747767374566
48706,0.7139129924953096,0.0002166377816291161,0.1697647709387894,0.40112300941977846,0.5403419528048609,0.6310954865048763,0.6754086910245963
48679,0.7135172373358349,0.0028704506065857886,0.1686162746182313,0.40029455984781076,0.539706090151194,0.6305851667044682,0.6749596713841446
48467,0.7104098264540337,1.0,1.0,0.8002822865208187,0.683151994724695,0.6265782112345959,0.6714340356887463
48131,0.705484873358349,1.0,0.8472499893657748,0.6815685311895923,0.7555932363054024,0.6972102517577682,0.6658462357186808
47998,0.7035354127579737,0.06547876949740035,0.13964864519971074,0.379399220643736,0.5236682209975978,0.617713767294171,0.66363439823053
47942,0.7027145872420263,0.024696707105719237,0.13726657875707177,0.37768095486484,0.5223493947529556,0.6166553262266576,0.6627030982355191
47932,0.7025680112570356,0.014677209705372616,0.13684120974945765,0.37737412169003715,0.5221138900664123,0.616466318893173,0.6625367946649815
47925,0.7024654080675422,0.32587738301559793,0.28763452294865793,0.37715933846767513,0.521949036785832,0.6163340137597338,0.6624203821656051
47503,0.6962799015009381,0.0035203639514731367,0.11859287932281254,0.36421097849099443,0.5120107390137064,0.6083579042866863,0.6554023714889159
46908,0.6875586303939962,0.10111568457538994,0.15938576715300523,0.3459544045902243,0.4979982101643823,0.5971119679443563,0.6455073090419251
45580,0.668093339587242,0.10171143847487002,0.10285422604109065,0.30520695897640454,0.46672318779143707,0.5720117940576095,0.623422194874524
45446,0.6661292213883677,1.0,0.9501467523076269,0.8374704673069252,0.7961000423908435,0.708985408633855,0.6973940230496749
45286,0.6637840056285178,0.29636048526863085,0.34582500319026754,0.4062471234389862,0.48302011210023077,0.566454978453164,0.6185328699007168
45006,0.6596798780487805,0.10739818024263431,0.16504317495427284,0.2875947347427204,0.4532052187838538,0.5611627731155969,0.6138763699256623
