period,black_urban,black_suburban,black_rural
"1950-
1953",89.74%,50.00%,50.00%
"1954-
1957",70.37%,57.14%,55.56%
"1958-
1961",80.00%,76.92%,55.56%
"1962-
1965",100.00%,100.00%,100.00%
"1966-
1969",98.04%,88.24%,100.00%
"1970-
1973",93.83%,90.00%,70.27%
"1974-
1977",96.67%,90.91%,95.65%
"1978-
1981",95.89%,100.00%,80.95%
"1982-
1985",93.33%,93.75%,86.49%
"1986-
1989",96.00%,76.47%,89.29%
"1990-
1993",95.56%,94.44%,93.94%
"1994-
1997",100.00%,100.00%,94.74%
"1998-
2001",95.24%,86.67%,100.00%
