period,black_urban,black_suburban,black_rural
"1950-
1953",10.26%,50.00%,50.00%
"1954-
1957",29.63%,42.86%,44.44%
"1958-
1961",20.00%,23.08%,44.44%
"1962-
1965",0.00%,0.00%,0.00%
"1966-
1969",1.96%,11.76%,0.00%
"1970-
1973",6.17%,10.00%,29.73%
"1974-
1977",3.33%,9.09%,4.35%
"1978-
1981",4.11%,0.00%,19.05%
"1982-
1985",6.67%,6.25%,13.51%
"1986-
1989",4.00%,23.53%,10.71%
"1990-
1993",4.44%,5.56%,6.06%
"1994-
1997",0.00%,0.00%,5.26%
"1998-
2001",4.76%,13.33%,0.00%
