period,black_urban,black_suburban,black_rural
"1950-
1953",50.65%,17.95%,14.63%
"1954-
1957",45.90%,40.00%,18.00%
"1958-
1961",54.44%,38.18%,24.19%
"1962-
1965",63.24%,52.27%,37.97%
"1966-
1969",63.07%,66.67%,50.00%
"1970-
1973",62.69%,73.17%,44.35%
"1974-
1977",57.14%,54.29%,48.31%
"1978-
1981",56.42%,43.48%,50.59%
"1982-
1985",68.81%,54.84%,59.60%
"1986-
1989",60.89%,49.09%,47.89%
"1990-
1993",61.60%,56.25%,42.25%
"1994-
1997",57.07%,66.27%,45.88%
"1998-
2001",64.19%,59.02%,48.48%
