period,black_urban,black_suburban,black_rural
"1950-
1953",0.00%,0.00%,14.29%
"1954-
1957",4.17%,23.08%,14.29%
"1958-
1961",0.00%,0.00%,0.00%
"1962-
1965",0.00%,0.00%,0.00%
"1966-
1969",1.75%,0.00%,0.00%
"1970-
1973",3.23%,0.00%,20.83%
"1974-
1977",0.00%,3.57%,4.00%
"1978-
1981",2.67%,7.14%,0.00%
"1982-
1985",0.00%,0.00%,4.76%
"1986-
1989",3.53%,11.11%,10.26%
"1990-
1993",3.09%,0.00%,6.82%
"1994-
1997",0.00%,0.00%,0.00%
"1998-
2001",0.00%,6.67%,0.00%
